"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_hotel_list","test","Mon Nov 03 17:39:01 UTC 2025","broken","Mon Nov 03 17:39:01 UTC 2025","TestHootel","test_hootel","",""
"A belépés tesztelése","0","Hootel Login","test","Mon Nov 03 17:38:56 UTC 2025","broken","Mon Nov 03 17:38:56 UTC 2025","TestHootel","test_hootel","",""
